nr;temperature_indoor;temperature_outdoor;door
885;12.48;11.20;0
886;12.80;11.20;0
887;12.80;11.20;0
888;12.80;11.20;0
889;12.48;11.20;0
890;12.80;11.20;0
891;12.80;11.20;0
892;12.80;11.20;0
893;12.80;11.20;0
894;12.80;11.20;0
895;12.80;11.20;0
896;12.80;11.20;0
897;12.80;11.20;0
898;12.80;11.20;0
899;12.80;11.20;0
900;12.80;11.20;0
901;12.80;11.20;0
902;12.80;11.20;0
903;12.80;11.20;0
904;12.80;11.20;0
905;12.80;11.20;0
906;12.80;11.20;0
907;12.80;11.20;0
908;12.80;11.20;0
909;12.80;11.20;0
910;12.80;11.20;0
911;12.80;11.20;0
912;12.80;11.20;0
913;12.80;11.20;0
914;12.80;11.20;0
915;12.80;11.20;0
916;12.80;11.20;0
917;12.80;11.20;0
918;12.80;11.20;0
919;12.80;11.20;0
920;12.80;11.20;0
921;12.80;11.20;0
922;12.80;11.20;0
923;12.80;11.20;0
924;12.80;11.20;0
925;12.80;11.20;0
926;12.80;11.20;0
927;12.80;11.20;0
928;12.80;11.20;0
929;12.80;10.88;0
930;12.80;10.88;0
931;12.80;10.88;0
932;12.80;11.20;0
933;12.80;11.20;0
934;12.80;11.20;0
935;12.80;11.20;0
936;12.80;11.20;0
937;12.80;11.20;0
938;12.80;11.20;0
939;12.80;11.20;0
940;13.12;11.20;0
941;12.80;11.20;0
942;13.12;11.20;0
943;12.80;11.20;0
944;13.12;11.20;0
945;12.80;11.20;0
946;13.12;11.20;0
947;13.12;11.20;0
948;13.12;11.20;0
949;13.12;11.20;0
950;13.12;11.20;0
951;13.12;11.20;0
952;13.12;11.20;0
953;13.12;11.20;0
954;13.12;11.20;0
955;13.12;11.20;0
956;13.12;11.20;0
957;13.12;11.20;0
958;13.12;11.20;0
959;13.12;11.20;0
960;13.12;11.52;0
961;13.12;11.52;0
962;13.12;11.52;0
963;13.12;11.52;0
964;13.12;11.52;0
965;13.12;11.52;0
966;13.12;11.52;0
967;13.12;11.52;0
968;13.12;11.52;0
969;13.12;11.20;0
970;13.12;11.52;0
971;13.12;11.20;0
972;13.12;11.20;0
973;13.12;11.20;0
974;13.12;11.20;0
975;13.12;11.20;0
976;13.12;11.20;0
977;13.12;11.20;0
978;13.12;11.20;0
979;13.12;11.20;0
980;13.12;11.20;0
981;13.12;11.20;0
982;13.12;11.20;0
983;13.12;11.20;0
984;13.12;11.20;0
985;13.12;11.20;0
986;13.12;11.20;0
987;13.12;11.20;0
988;13.12;11.52;0
989;13.12;11.20;0
990;13.12;11.52;0
991;13.12;11.20;0
992;13.12;11.20;0
993;13.12;11.20;0
994;13.12;11.20;0
995;13.12;11.20;0
996;13.12;11.20;0
997;13.12;11.20;0
998;13.12;11.20;0
999;13.12;11.20;0
1000;13.12;11.20;0
1001;13.12;11.20;0
1002;13.12;11.20;0
1003;13.12;11.20;0
1004;13.12;11.20;0
1005;13.12;11.20;0
1006;13.12;11.20;0
1007;13.12;11.20;0
1008;13.12;11.20;0
1009;13.12;11.20;0
1010;13.12;11.20;0
1011;13.12;11.20;0
1012;13.12;11.20;0
1013;13.12;11.20;0
1014;13.12;11.52;0
1015;13.12;11.52;0
1016;13.12;11.52;0
1017;13.12;11.52;0
1018;13.12;11.52;0
1019;13.12;11.52;0
1020;13.12;11.52;0
1021;13.12;11.52;0
1022;13.44;11.52;0
1023;13.12;11.52;0
1024;13.44;11.52;0
1025;13.44;11.52;0
1026;13.44;11.52;0
1027;13.44;11.52;0
1028;13.44;11.84;0
1029;13.44;11.52;0
1030;13.44;11.52;0
1031;13.44;11.52;0
1032;13.44;11.84;0
1033;13.44;11.52;0
1034;13.44;11.84;0
1035;13.44;11.84;0
1036;13.44;11.84;0
1037;13.44;11.52;0
1038;13.44;11.84;0
1039;13.44;11.52;0
1040;13.44;11.84;0
1041;13.44;11.84;0
1042;13.44;11.84;0
1043;13.44;11.52;0
1044;13.44;11.52;0
1045;13.44;11.52;0
1046;13.44;11.84;0
1047;13.44;11.52;0
1048;13.44;11.52;0
1049;13.44;11.52;0
1050;13.44;11.52;0
1051;13.44;11.52;0
1052;13.44;11.52;0
1053;13.44;11.52;0
1054;13.44;11.52;0
1055;13.44;11.52;0
1056;13.44;11.52;0
1057;13.44;11.52;0
1058;13.44;11.52;0
1059;13.44;11.52;0
1060;13.76;11.52;0
1061;13.76;11.52;0
1062;13.76;11.52;0
1063;13.76;11.52;0
1064;13.76;11.52;0
1065;13.76;11.84;0
1066;13.76;11.84;0
1067;13.76;11.84;0
1068;14.08;11.84;0
1069;14.08;11.84;0
1070;14.08;11.84;0
1071;14.08;11.84;0
1072;14.08;12.16;0
1073;14.08;12.16;0
1074;14.08;12.16;0
1075;14.08;12.16;0
1076;14.08;12.16;0
1077;14.08;12.16;0
1078;14.08;12.16;0
1079;14.08;12.16;0
